business_id,name,RestaurantsDelivery,OutdoorSeating,WiFi,HappyHour,RestaurantsTakeOut,RestaurantsReservations,BusinessParking,Price,AverageRating,lamb,calamari,crawfish,disney,asian,brazil,indian,bbq
t4p4SkyihBfI2p2IctGcFQ,Ponderosa Steakhouse,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,$$,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4UHqIiqzS2sgnhNi0cXtXw,Rosen Inn Lake Buena Vista,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,$$,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDvLLp9cT1m0U8SN-DYIKA,Saffron Indian Cuisine,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,$$,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
esHeBE48Fah6nuYKRS61KA,Saffron Indian Cuisine,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,$$,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
bIwbjfRhiDOGnqkKXAoJ-Q,Savannah Bar and Grille,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,$$,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U9lrX8Nviajz-74dF6zL7g,SeaWorld Orlando,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,$$$$,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
cQqDl2LsQw_JpbC-cu3KvA,Spice Indian Grill,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,$$,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5K6W5eZKzJNImYVxHG7G4g,Texas de Brazil,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,$$$,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ZqYyavcfs69iGVnpn5t9Fg,The Crystal Palace,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,$$$,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3O8mfTK37HGnCgowSLG3bA,The Garden Gallery,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,$$,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Yttutdu1cYsHQU_nEu-ZDg,Tony's Brazilian Grill,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,$$,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5xjvDjN7s-FC00gkqAPqmA,Tropical Cabana,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,$,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
_vS_Bhzhoa5Z3CYVmUf5jg,Villa de Flora,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,$$$,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
